province,year,total_count,PM25_dcount
CHANGWAT SURIN,2019,904,32.31433516
CHANGWAT TAK,2019,1781,35.67981013
CHANGWAT TRANG,2019,474,25.90045521
CHANGWAT TRAT,2019,289,30.87515038
CHANGWAT UBON RATCHATHANI,2019,1589,34.18464467
CHANGWAT UDON THANI,2019,1136,35.56060582
CHANGWAT UTHAI THANI,2019,675,38.66692935
CHANGWAT UTTARADIT,2019,814,37.60889099
CHANGWAT YALA,2019,446,25.80814446
CHANGWAT YASOTHON,2019,422,33.14852534
BANGKOK,2020,158,36.52235487
CHANGWAT AMNAT CHAROEN,2020,335,35.94869916
CHANGWAT ANG THONG,2020,99,40.18548762
CHANGWAT BUENG KAN,2020,410,39.46994698
CHANGWAT BURI RAM,2020,1023,36.55133061
CHANGWAT CHACHOENGSAO,2020,527,33.8790741
CHANGWAT CHAI NAT,2020,259,41.78136527
CHANGWAT CHAIYAPHUM,2020,1302,35.69120445
CHANGWAT CHANTHABURI,2020,650,33.61066458
CHANGWAT CHIANG MAI,2020,2305,35.99774851
CHANGWAT CHIANG RAI,2020,1214,45.0400669
CHANGWAT CHON BURI,2020,453,36.23205191
CHANGWAT CHUMPHON,2020,601,30.21092614
CHANGWAT KALASIN,2020,711,38.55937476
CHANGWAT KAMPHAENG PHET,2020,879,49.95526645
CHANGWAT KANCHANABURI,2020,1977,42.51551665
CHANGWAT KHON KAEN,2020,1097,35.32349664
CHANGWAT KRABI,2020,531,26.09799746
CHANGWAT LAMPANG,2020,1301,42.95541517
CHANGWAT LAMPHUN,2020,465,37.96206627
CHANGWAT LOEI,2020,1081,38.04794823
CHANGWAT LOP BURI,2020,663,35.73235446
CHANGWAT MAE HONG SON,2020,1335,34.07493791
CHANGWAT MAHA SARAKHAM,2020,571,34.0322269
CHANGWAT MUKDAHAN,2020,417,37.92746687
CHANGWAT NAKHON NAYOK,2020,220,33.63342126
CHANGWAT NAKHON PATHOM,2020,222,36.78993827
CHANGWAT NAKHON PHANOM,2020,579,37.49337242
CHANGWAT NAKHON RATCHASIMA,2020,2118,34.56398755
CHANGWAT NAKHON SAWAN,2020,973,43.62141488
CHANGWAT NAKHON SI THAMMARAT,2020,984,25.36958877
CHANGWAT NAN,2020,1270,43.66109173
CHANGWAT NARATHIWAT,2020,445,26.36645288
CHANGWAT NONG BUA LAM PHU,2020,425,37.2263031
CHANGWAT NONG KHAI,2020,344,38.34308893
CHANGWAT NONTHABURI,2020,63,35.28205541
CHANGWAT PATHUM THANI,2020,151,35.28441393
CHANGWAT PATTANI,2020,201,26.77300694
CHANGWAT PHANGNGA,2020,454,28.06092237
CHANGWAT PHATTHALUNG,2020,384,22.40872131
CHANGWAT PHAYAO,2020,646,46.60977399
CHANGWAT PHETCHABUN,2020,1271,38.13337119
CHANGWAT PHETCHABURI,2020,625,37.73594363
CHANGWAT PHICHIT,2020,446,46.29494686
CHANGWAT PHITSANULOK,2020,1086,45.44513622
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2020,264,37.02487297
CHANGWAT PHRAE,2020,671,43.42408178
CHANGWAT PHUKET,2020,52,30.47643564
CHANGWAT PRACHIN BURI,2020,509,33.03758303
CHANGWAT PRACHUAP KHIRI KHAN,2020,646,36.12693516
CHANGWAT RANONG,2020,324,28.94100789
CHANGWAT RATCHABURI,2020,527,40.16032419
CHANGWAT RAYONG,2020,373,34.83156851
CHANGWAT ROI ET,2020,801,36.73620268
CHANGWAT SA KAEO,2020,691,35.46469316
CHANGWAT SAKON NAKHON,2020,990,36.65676333
CHANGWAT SAMUT PRAKAN,2020,99,40.97368856
CHANGWAT SAMUT SAKHON,2020,88,39.3727798
CHANGWAT SAMUT SONGKHRAM,2020,43,39.34240947
CHANGWAT SARABURI,2020,353,36.88524933
CHANGWAT SATUN,2020,306,28.61702652
CHANGWAT SI SA KET,2020,900,36.10780693
CHANGWAT SING BURI,2020,82,38.62946411
CHANGWAT SONGKHLA,2020,770,28.54351571
CHANGWAT SUKHOTHAI,2020,692,45.73930419
CHANGWAT SUPHAN BURI,2020,552,41.09167394
CHANGWAT SURAT THANI,2020,1313,27.84576701
CHANGWAT SURIN,2020,904,36.01506151
CHANGWAT TAK,2020,1781,42.88523192
CHANGWAT TRANG,2020,474,26.72845128
CHANGWAT TRAT,2020,289,36.58432145
CHANGWAT UBON RATCHATHANI,2020,1589,36.80836197
CHANGWAT UDON THANI,2020,1136,37.63288785
CHANGWAT UTHAI THANI,2020,675,46.97526384
CHANGWAT UTTARADIT,2020,814,42.52153165
CHANGWAT YALA,2020,446,26.84334504
CHANGWAT YASOTHON,2020,422,37.11775852
BANGKOK,2021,158,32.61683358
CHANGWAT AMNAT CHAROEN,2021,335,34.05736094
CHANGWAT ANG THONG,2021,99,36.32848346
CHANGWAT BUENG KAN,2021,410,35.2732984
CHANGWAT BURI RAM,2021,1023,34.24442597
CHANGWAT CHACHOENGSAO,2021,527,33.06375577
CHANGWAT CHAI NAT,2021,259,34.58222486
CHANGWAT CHAIYAPHUM,2021,1302,33.05462032
CHANGWAT CHANTHABURI,2021,650,31.15323759
CHANGWAT CHIANG MAI,2021,2305,37.31186888
CHANGWAT CHIANG RAI,2021,1214,46.84959211
CHANGWAT CHON BURI,2021,453,34.95325539
CHANGWAT CHUMPHON,2021,601,30.08954103
CHANGWAT KALASIN,2021,711,35.21850445
CHANGWAT KAMPHAENG PHET,2021,879,37.01029709
CHANGWAT KANCHANABURI,2021,1977,32.8955753
CHANGWAT KHON KAEN,2021,1097,33.97893518
CHANGWAT KRABI,2021,531,26.75639582
CHANGWAT LAMPANG,2021,1301,41.13474521
CHANGWAT LAMPHUN,2021,465,38.30828793
CHANGWAT LOEI,2021,1081,34.74628087
CHANGWAT LOP BURI,2021,663,35.3015366
CHANGWAT MAE HONG SON,2021,1335,39.34790971
CHANGWAT MAHA SARAKHAM,2021,571,32.315513
CHANGWAT MUKDAHAN,2021,417,35.70787215
CHANGWAT NAKHON NAYOK,2021,220,31.36231458
CHANGWAT NAKHON PATHOM,2021,222,33.35784494
CHANGWAT NAKHON PHANOM,2021,579,33.29073506
CHANGWAT NAKHON RATCHASIMA,2021,2118,32.84109757
CHANGWAT NAKHON SAWAN,2021,973,34.41112982
CHANGWAT NAKHON SI THAMMARAT,2021,984,28.20526552
CHANGWAT NAN,2021,1270,39.02187081
CHANGWAT NARATHIWAT,2021,445,26.64600123
CHANGWAT NONG BUA LAM PHU,2021,425,34.2052585
CHANGWAT NONG KHAI,2021,344,34.6370084
CHANGWAT NONTHABURI,2021,63,32.50287453
CHANGWAT PATHUM THANI,2021,151,32.14955089
CHANGWAT PATTANI,2021,201,26.398984
CHANGWAT PHANGNGA,2021,454,27.48501205
CHANGWAT PHATTHALUNG,2021,384,25.43437353
CHANGWAT PHAYAO,2021,646,43.71160871
CHANGWAT PHETCHABUN,2021,1271,33.01008182
CHANGWAT PHETCHABURI,2021,625,33.92390178
CHANGWAT PHICHIT,2021,446,34.35577455
CHANGWAT PHITSANULOK,2021,1086,34.90753397
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2021,264,34.48838671
CHANGWAT PHRAE,2021,671,41.18292856
CHANGWAT PHUKET,2021,52,29.48015181
CHANGWAT PRACHIN BURI,2021,509,31.87577013
CHANGWAT PRACHUAP KHIRI KHAN,2021,646,33.12174968
CHANGWAT RANONG,2021,324,28.43914693
CHANGWAT RATCHABURI,2021,527,35.00481931
CHANGWAT RAYONG,2021,373,34.6236108
CHANGWAT ROI ET,2021,801,34.07677283
CHANGWAT SA KAEO,2021,691,34.61650886
CHANGWAT SAKON NAKHON,2021,990,32.81642499
CHANGWAT SAMUT PRAKAN,2021,99,36.07942248
CHANGWAT SAMUT SAKHON,2021,88,34.79660131
CHANGWAT SAMUT SONGKHRAM,2021,43,35.14796127
CHANGWAT SARABURI,2021,353,35.20841604
CHANGWAT SATUN,2021,306,26.02322754
CHANGWAT SI SA KET,2021,900,35.64155938
CHANGWAT SING BURI,2021,82,35.76269158
CHANGWAT SONGKHLA,2021,770,26.59582412
CHANGWAT SUKHOTHAI,2021,692,39.96679151
CHANGWAT SUPHAN BURI,2021,552,36.08924616
CHANGWAT SURAT THANI,2021,1313,28.63390635
CHANGWAT SURIN,2021,904,35.41998638
CHANGWAT TAK,2021,1781,34.76430327
CHANGWAT TRANG,2021,474,25.432803
CHANGWAT TRAT,2021,289,31.09721416
CHANGWAT UBON RATCHATHANI,2021,1589,35.64774862
CHANGWAT UDON THANI,2021,1136,33.90287409
CHANGWAT UTHAI THANI,2021,675,33.22083455
